,mean_abs_survshap
Age at Diagnosis (years),305.9967011534156
Clinical Stage IV,251.26494469905091
Race/Ethnicity: Asian/Indigenous,95.22647324846801
pTNM: Not Applicable,88.35904793271511
Race/Ethnicity: Black,59.010679113829084
Poor Clinical Condition at Entry,49.72145496115945
Unknown Clinical Stage,49.020567279045615
pTNM: T2N0M0,42.952962463752144
Former Smoker,40.956175280587665
Diagnostic Cost Category 8,20.98907766295808
Treatment Cost Category 8,19.6704794979062
Hospital: HUCAM,8.018859765043578
Clinical Stage I,6.814325625991774
Unknown Occupation,2.6742813629359863
pTNM: T2 (other variants),1.4758558793911483
pTNM: T2N0Mx,0.9098998911751156
